21,Programer,PT Square Gate One,PHP Programmer,sq.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Banten,"Alam Sutera, South Tangerang",Full Time,Karyawan Tetap,Junior,S1,-,25,Passion in programming,Candidates must has good SQL knowledge and good analytical thinking,Must be creative and know how to do by given what to do,"Excelent character, responsible and honest",Excelent team work and deadline oriented,Able to communicate in english,,,,12
22,Programer,PT Sinergi Prakarsa Utama Serpong,PHP Programmer,spus.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Banten,"Royal Serpong Village, Pondok Jagung",Full Time,Karyawan Tetap,Middle,S1,-,27,"Understanding of PHP, Javascript, CSS","Work experience with 1 of frameworks, such as Code Igniter, Zend or other framework",Knowledge of MySql or PostgreSql,Understanding of OOP concept,Develop application based on project requirements,Explore new technology to support project development,,,,13
23,Programer,PT Rialachas Tathya Prayukti,PHP MySQL Programmer,riachalas.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Banten,"Jl. Cut Mutia 1 FG-2 No. 42A Bintaro Sektor 7, Tangerang Selatan",Full Time,Karyawan Tetap,Middle,S1,-,Max 29,Candidate must possess at Computer Science/Information Technology/Telecomunication,"Required skill : programming, database, analysis, design, testing, technical writing",Strong OOP PHP background and demonstrable experience,2 years of working experience in the related field is required for this position,Able to work in a team or independently and accept responsibility for delivering project in extended working hours,"Comfortable with LAMP stack(command line, Apache, MySql including large and complex record sets)","Used to working with pull request workflows(VCS, Git)",,,12
24,Programer,PT Sumber Alfaria Trijaya,IT Programmer,alfaria.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Banten,"Cikokol, Tangerang City",Full Time,Karyawan Kontrak,Junior,S1,2.75,Max 27,Pendidikan Teknik Informatika/Komputer,Menguasai bahasa pemrograman,Membuat aplikasi/software,Melakukan pengembangan terhadap aplikasi/software,Melakukan perawatan aplikasi/software,Terbuka bagi fresh graduate,,,,11
25,Programer,Paybill Indonesia,Java Programmer,paybill.png,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Banten,"Jl. HR Rasuna Said, Kebayoran Arcade Blok C3/58, Bintaro CBD",Full Time,Karyawan Tetap,Junior,S1,-,Max 30,Candidate must possess at least a Computer Science/Information Technology or equivalent,"Familiar with java programming, PHP guy is considered",Experience in javascript is an advantage,Understanding spring is a plus,Understanding Linux and JBoss is an advantage,At least 1 year of working experience,Having great passion and winning spirit,,,11
26,Programer,PT Supermal Karawaci,ERP Programmer,sk.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Banten,"105 Boulevard Diponegoro, Lippo Karawaci 1200, Tangerang 15811",Full Time,Karyawan Tetap,Middle,S1,-,Max 30,Candidate must possess at least a Computer Science/Information Technology or equivalent,Having knowledge basic finance & accounting,"Having strong skill in programing using Microsoft Visual Studio, PHP, DevExpress",Having skill in Ms.SQL 2008 & above & MySql database,At least 2 year of working experience in the related field is required for this position,Team player orientation,,,,12
27,Programer,PT Sima Soareka Indonesia,Web Programmer,sima.png,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Jawa Barat,"Jl. Pinus VII No.7 Grand Pinux Regency, Babakan Penghulu, Bandung City",Full Time,Karyawan Tetap,Middle,S1,-,Max 29,Majoring in IT or related field,"Excelent web programming language, such as PHP / ASP / JSP / Ruby",Good knowledge of OOP concept and dessign pattern is definitely an asset,"Experience with MVC, Ajax, and Json is preferable",Experience in using and configuring Linux servers is preferable,Able to work in both team and independently,Fast learner and ability to work on multiple projects is preferable,"Team spirit, sense of responsibility, deadline commitment",Ability to work under high pressure,12
28,Programer,PT GAC Samudera Logistics,Web Programmer,gacsamudra.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Jawa Barat,"Jl. Waru Blok F2 No.5, Bekasi",Full Time,Karyawan Kontrak,Junior,D3,2.75,Fresh Graduate,Having good skill in programming with Microsoft ASP.Net using SQL Server & Sybase Database,"Good experience using full cycle of web development (analysis,design,coding and implementation)",Good reporting and problem solving skill,"Good personality, team work, integrity",,,,,,11
29,Programer,Indosoft.dk,Senior PHP Web Programmer,indosoft.png,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Jawa Barat,Bandung,Full Time,Karyawan Tetap,Senior,S1,-,Max 35,Minimum 3 years experience with PHP programming,Strong problem solving skills,Good in english,Extensive experience with PHP / Ajax / Javascript / Framework / MySql / HTML 5 / CSS / Jquery,Have extensive experience in working with CMS solutions,,,,,12
30,Programer,PT Cahaya Prima Sentosa,Programmer VB,cps.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Jawa Barat,"Lippo Cikarang, Blok C1 No.19 Diamond Techno Park Karangraharja",Full Time,Karyawan Kontrak,Junior,D3,-,Max 27,"Menguasai VB 6, SQL Server, Crystal report","Menguasai Java, MySql Flash","Pengalaman dalam project min 1 tahun, fresh graduate dipertimbangkan","Disiplin, integritas dan motivasi tinggi",Jujur dan bertanggung jawab serta dapat bekerja sama dalam team,Mampu bekerja dibawah tekanan dan deadline,,,,9
31,Programer,PT Djabesmen,Programmer Supervisor,djabesmen.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Jawa Barat,"Jl. Lemahabang, Cikarang Timur",Part Time,Karyawan Kontrak,Junior,S1,-,Max 35,"Jurusan IT, SI, Elektro, MI dan Komputer Akutansi",Pengalaman min 2 tahun dibidang IT,Menguasai pemrograman PHP/VB/Java/Progress,"Menguasai algoritma dan pemrograman, serta memahami DBMS",Dapat membaca flow dan business process dari system,,,,,8
32,Programer,PT Akhdani Reka Solusi,IT Programmer,akhdani.png,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Jawa Barat,"Jl. Cikutra Baru No.23, Bandung",Full Time,Karyawan Tetap,Junior,D3,-,Fresh Graduate,"Pendidikan Teknik Informatika, Ilmu Komputer, Sistem Informasi","Keahlian HTML 5, CSS 3, Javascript, PHP, Java, SQL",Mampu belajar dengan cepat dan bekerja dibawah tekanan,Memiliki kemampuan komunikasi yang baik,Mampu bekerja dalam team maupun individu,Bersedia lembur dan perjalanan dinas ke luar kota,Bersedia mengikuti pelatihan internal dan mengikuti masa probation 3 bulan,Fresh graduate welcome,,12
33,Programer,CV Piranti Indonesia,Programmer Aplikasi Web,pi.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Jawa Barat,"Perum Bukit Putra Blok D1/10 Cileungsi, Bogor",Full Time,Karyawan Tetap,Junior,S1,-,Max 30,Candidate must possess at least a Computer Science/Information Technology or equivalent,"Required skill : jquery, angularjs, HTML 5, Javascript, PHP, CSS",At least 1 year of working experience in the related field is required for this position,,,,,,,11
34,Programer,PT Bentang Inspira Teknologi,Mobile Programmer,bentang.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Jawa Barat,"Jl. Merak Ngibing No.12, Bandung",Full Time,Freelance,Middle,S1,-,Max 26,Terbiasa dengan Java ME dan database MySql lebih dari 2 tahun,"Menguasai mobile frameworks (Phonegap,Jquery Mobile, dll) lebih dari 2 tahun",Memiliki pengetahuan yang baik tentang Eclipse IDE atau Android Studio,"Familiar dengan API JSON, Spring MVC, dan web service","Memahami dan menguasai Native apps, Web apps, Hybrid apps","Familiar dengan Javascript,, PHP, HTML, CSS, Ajax, JQuery sebagai nilai tambah",Memiliki pengetahuan tentang IOS SDK atau Objective-C (C++/C#) sebagai nilai tambah,Mampu bekerja didalam tekanan,,12
35,Programer,PT Solusi Ritel Indonesia,Junior Programmer ASP.Net,solusiritel.png,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Jawa Barat,"Jl. Holis Commercial Residence M40, Bandung",Full Time,Karyawan Kontrak,Junior,D3,-,Max 28,Menguasai bahasa perograman ASP.Net dan C#,Pendidikan min IT,Berpengalaman min 6 bulan untuk bahasa pemrograman ini,Mampu membuat modul-modul secara team,"Jujur, cekatan dan kreatif",Bersedia Overtime,Mampu bekerja dibawah tekanan,,,8
36,Programer,PT Gistex,IT Programmer,gistex.png,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Jawa Barat,"Jl. Nanjung No.82, Cimahi",Full Time,Karyawan Kontrak,Junior,S1,-,28,Candidate must possess at least a Computer Science/Information Technology or equivalent,At least 1 year of working experience in the related field is required for this position,,,,,,,,9
37,Programer,PT Kotak Kreasi Digital,Back End Developer - Programmer,a1.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Jawa Barat,"Jl. Merdeka, Braga",Part Time,Freelance,Junior,D3,-,Max 27,Anyone with high competence of programming,Passionate for programming and technology,Strong logic and high problem solving skill,Fresh graduate are welcome to apply,Able to speak and write english proficiently,,,,,9
38,Programer,Blackberry Inovation Center,Back End Programmer,bb.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Jawa Barat,"Jl. Ganesa 10 Gedung Ahmad Bakrie Labtek 8 Lt.3, Bandung",Full Time,Karyawan Kontrak,Middle,D3,-,Max 29,Majoring in IT or related field,"At least 1-2 year of working experience in the related field is required for this position, fresh graduate are welcome","Proficient in PHP, Database MySql, PostgreSQL and Ms.Sql",Knowledge of PHP framework such as CodeIgniter and Laravel,Knowledge of OOP and SOA concept is an advatage,Fast learner and willing to work with another team member,We are seeking a web programmer with at least 1 year experience as a programmer,,,9
39,Programer,PT World Prime Indonesia,Java Programmer,wp.png,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Jawa Barat,"Jl. Karet III Blok H21, Delta Silicon 2, Cikarang Selatan",Full Time,Karyawan Kontrak,Junior,S1,-,27,Pendidikan Teknik Informatika / program desain,Diutamakan yang memiliki pengalam dalam program CAD industri sepatu,Disiplin dan pekerja keras,Kemampuan bahasa inggris aktif dan pasif yang baik,memiliki kendaraan pribadi (motor),,,,,10
40,Programer,PT Magicsoft Asia Systems,GO Programmer,magicsoft.png,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Jawa Timur,"Jl. Soekarno Hatta, PJ Tower Lt.3 area A24 Permata Jingga, Malang",Full Time,Karyawan Tetap,Middle,S1,-,Max 30,"Berpengalaman menggunakan GO, MongoDB,PostgreSQL","Pengalaman dengan HTML, CSS and Javascript (point plus)",Pengalaman dengan Linux & Server (point plus),"Pernah membuat script yang berbasis GO, MongoDB, PostgreSQL",Attitude untuk mau belajar dan bekerja sama dalam tim,Menguasai bahasa inggris dengan baik,Fresh graduate ,,,12
41,Programer,"PT Japfa Comfeer Indonesia, TBK",IT Programmer,japfa.png,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Jawa Timur,Sidoarjo / Jakarta,Full Time,Karyawan Tetap,Junior,S1,-,Max 35,Pengalaman min 1 tahun sebagai programmer,"Kemampuan dalam hal Oracle P/L SQL, MySql","kemampuan dalam hal PHP, ASP, Oracle APEX, Jquery/Javascript, CSS","Kemampuan dalam hal Web Server (IIS, Apache) dan Operating System (Linux,Windows Server)",Memiliki kemampuan bahasa inggris baik lisan maupun tulisan,Memiliki kemampuan komunikasi yang memadai,,,,10
42,Programer,PT Solusi Sentral Data,Programmer .Net,ssd.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Jawa Timur,"Jl. Mayjend Sungkono No.204, Surabaya",Full Time,Karyawan Kontrak,Junior,S1,-,Max 29,Menguasai C# ASP.Net dengan MVC Framework,"Javascript, Jquery",Menguasai Ms.SQL Server,Menguasai Crystal Report,Mau mempelajari hal-hal baru,,,,,9
43,Programer,PT Arthawenasakti Gemilang,Staff IT Programmer,aws.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Jawa Timur,"Jl. Kertanegara No.85, Grimoyo, Malang",Part Time,Karyawan Tetap,Junior,S1,3.2,Max 27,"Lulusan Management Informatika, Sistem Informasi, Tehnik Informatika","Mahir software VB Dekstop, VB.Net, ASP.Net, Microsoft Windows, Java","Pengalaman dalam project min 1 tahun, fresh graduate dipertimbangkan","Bersedia bekerja dengan target, teliti, jujur, disiplin, komunikatif dan proaktif",,,,,,14
44,Programer,PT Motasa Indonesia (Ladaku),Programmer Staff,mi.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Jawa Timur,"Jl. Waru Komplek Pertokoan Gateway F8, Sidoarjo",Full Time,Karyawan Tetap,Junior,S1,3,25,Memahami konsep perancangan sistem informasi akutansi,"Menguasai DBMS, MySql, HTML, Oracle, memiliki daya analisis yang kuat",Pengalaman 1 tahun sebagai programmer,Candidate must possess at least a Computer Science/Information Technology or equivalent(Masters degree is a plus),,,,,,14
45,Programer,UD MarkDesign,Senior PHP Programmer,udmark.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Jawa Timur,"Embongg Kenongo, Surabaya",Full Time,Karyawan Tetap,Junior,D3,-,Max 30,Candidate must possess at least a Computer Science/Information Technology or equivalent(Masters degree is a plus),Candidates must be a senior and advanced in PHP Programming for web development,"Required skill : CodeIgniter, Drupal, Yii, Laravel, PHP Modxcms","Required language : English, Bahasa indoensia",,,,,,10
46,Programer,KapanLagi Networks,Senior Programmer,kapanlagi.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Jawa Timur,Jawa Timur,Part Time,Freelance,Junior,S1,3,Min 25,Candidate must possess at least a Computer Science/Information Technology or equivalent(Masters degree is a plus),"Fluent in english, both oral and written","High motivated, good interpersonal skill, eager to learn",,,,,,,12
47,Programer,PT Warna Warni Media,Web Programmer,w2.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Jawa Timur,"Jl. Panglima Sudirman No.21, Surabaya",Full Time,Karyawan Kontrak,Middle,S1,2.75,Max 32,Mampu bekerja sendiri maupun dalam tim,Keinginan belajar tinggi,Kesempatan terbuka untuk lulusan baru,"Lancar dalam pemrograman Web, ASP.Net, C#","Menguasai Javascript, Jquery, AJAX",MVC adalah nilai plus,HTML 5 dan CSS 3 adalah nilai plus,,,10
